seed,split,case_id,contact_overlap_nm,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,median_wall_time_s,timing_repeats,finite,practical_case_pass,historical_pr39_metrics_modified
baseline,train,cooling_near-transition_localized-sink,20.0,R1,0.027697877962538624,0.0005001052232906741,0.01409899159291465,0.027655440128436574,0.0006398229426877802,0.0006226045401052079,0.0,0.02607259837804547,0.0014859866122791843,1.031455898872757e-15,3.8458569943682746e-14,3.8458569943682746e-14,1,2,1,2,False,nan,0,True,False,False
baseline,train,cooling_near-transition_localized-sink,20.0,R2,0.0015980632780910077,4.136108018847261e-05,0.0008197121791397402,0.0015218578424345984,0.0006235520557073024,0.0006226045401052079,0.0,0.0015036734813097957,8.559295255083625e-05,3.0239159319074675e-16,4.1276452470535244e-14,4.1276452470535244e-14,2,4,1,2,False,nan,0,True,False,False
20260809,train,cooling_near-transition_localized-sink,20.0,N0,0.005789434167360237,6.113398346465138e-05,0.0029252840754124443,7.5970035761700585e-06,0.0006225998101762901,0.0006226045401052079,0.0,0.0057512450948909105,0.00032659580176269893,1.0599893184717995e-15,0.0002865373629298241,0.0002865373629298241,0,1,1,2,False,nan,0,True,False,False
20260809,train,cooling_near-transition_localized-sink,20.0,N1,0.00020756671842537793,6.113398346465138e-05,0.00013435035094501465,7.5970035761700585e-06,0.0006225998101762901,0.0006226045401052079,0.0,0.00020128748942975172,1.1420936191128129e-05,1.0599893184717995e-15,4.058244819291873e-14,4.058244819291873e-14,1,2,1,2,False,nan,0,True,False,False
20260809,train,cooling_near-transition_localized-sink,20.0,N2,1.0966835998261422e-05,1.5869552880908704e-06,6.276895643176146e-06,3.518155596194601e-06,0.0006226023496855609,0.0006226045401052079,0.0,1.0506035425606819e-05,5.980599557445547e-07,3.0285285569179947e-16,4.361081121961724e-14,4.361081121961724e-14,2,4,1,2,False,nan,0,True,False,False
baseline,validation,cooling_near-transition_nominal,20.0,A1,0.003990330076186742,0.00013498037615071497,0.0020626552261687283,0.003984380868695829,0.0006247304775271107,0.0006272295991422127,0.2,0.0037444580543213313,0.00023469174378123818,1.6600165749874503e-15,2.671117579752462e-14,2.671117579752462e-14,1,2,1,2,False,nan,0,True,False,False
baseline,validation,cooling_near-transition_nominal,20.0,A2,0.0002486011179015423,4.812640920513849e-06,0.00012670687941102808,0.00024828440417940504,0.000627073867814906,0.0006272295991422127,0.2,0.00023324343644261632,1.4624689446385503e-05,1.5034664115388793e-16,2.7513435331160742e-14,2.7513435331160742e-14,2,4,1,2,False,nan,0,True,False,False
baseline,validation,cooling_near-transition_nominal,20.0,R0,0.233682108313055,0.0012425632976631846,0.11746233580535909,0.012934248984180097,0.0006353423429477656,0.0006272295991422127,0.5882176467941096,0.21910073914933945,0.013980308585204432,2.9677999846170887e-16,0.1603451307291988,0.1603451307291988,0,1,1,2,False,nan,0,True,False,False
baseline,validation,cooling_near-transition_nominal,20.0,R1,0.013790375728622142,0.0012425632976631846,0.007516469513142663,0.012934248984180097,0.0006353423429477656,0.0006272295991422127,0.5882176467941096,0.012974446422115364,0.0008143311624085943,2.9677999846170887e-16,2.8787659850784935e-14,2.8787659850784935e-14,1,2,1,2,False,nan,0,True,False,False
baseline,validation,cooling_near-transition_nominal,20.0,R2,0.0008479147405808243,4.1871915958346245e-05,0.00044489332826958526,0.0008058667112078081,0.0006277350625964456,0.0006272295991422127,0.5882176467941096,0.0007964199253727313,4.9941401943020224e-05,1.051317964842918e-15,2.8836149892833485e-14,2.8836149892833485e-14,2,4,1,2,False,nan,0,True,False,False
20260809,validation,cooling_near-transition_nominal,20.0,N0,0.30294237141399094,0.0018165819336698956,0.15237947667383042,0.01606596381953742,0.0006373066471885745,0.0006272295991422127,0.5882176467941096,0.28412585247762656,0.018207121542456253,7.396631605621072e-16,0.1911168765340231,0.1911168765340231,0,1,1,2,False,nan,0,True,False,False
