seed,split,case_id,contact_overlap_nm,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,median_wall_time_s,timing_repeats,finite,practical_case_pass,nonlinear_iteration_count,practical_gate_role
baseline,train,g010nm_heating_high_nominal,10.0,R1,0.023299826465985222,0.0009036648391960266,0.012101745652590624,0.02300147106374521,0.003247626859464466,0.003324085720989208,0.32,0.021027641239586038,0.002171725704188898,5.34151105112754e-16,7.300065103207643e-15,7.300065103207643e-15,1,2,1,2,False,0.005303049998474307,20,True,False,0,admission_metric
baseline,train,g010nm_heating_high_nominal,10.0,R2,0.002344642657345832,4.827211666541773e-05,0.0011964573870056248,0.0023273507988650316,0.003316349407430968,0.003324085720989208,0.3671511950137164,0.0021088984071547974,0.0002181178993097631,5.230822397934906e-16,7.323151357108869e-15,7.323151357108869e-15,2,4,1,2,False,0.011065900005633011,20,True,True,0,admission_metric
baseline,train,g010nm_heating_low_localized-sink,10.0,COLD,1.7777967936308451e-12,1.5119219828238126e-15,8.896543578068344e-13,4.813854769445929e-15,2.252253598025123e-05,2.2522535980251337e-05,0.0,1.242266019180398e-08,4.214771359567303e-11,1.2034636923614866e-15,1.2141302370762307e-08,1.2141302370762307e-08,39,79,1,2,False,0.21804905000317376,10,True,False,39,reference_baseline_nonvoting
baseline,train,g010nm_heating_low_localized-sink,10.0,A1,0.0006994533958467478,0.000134057133315493,0.0004167552645811204,0.00038939293758346883,2.2531306096698517e-05,2.2522535980251337e-05,0.0,0.0006985466483709504,2.3733091505217403e-06,8.019968363369543e-16,1.9123614562454687e-12,1.9123614562454687e-12,1,2,1,2,False,0.005823050014441833,20,True,True,0,admission_metric
baseline,train,g010nm_heating_low_localized-sink,10.0,A2,1.305462937901062e-06,3.4969720072239726e-07,8.275800693117297e-07,1.2800200810268875e-06,2.2522564809549667e-05,2.2522535980251337e-05,0.0,1.3128481946453816e-06,4.456961143714398e-09,2.406924303811522e-15,1.7412091567823228e-12,1.7412091567823228e-12,2,4,1,2,False,0.011004300002241507,20,True,True,0,admission_metric
baseline,train,g010nm_heating_low_localized-sink,10.0,R0,1.0,0.00013377621049231772,0.5000668881052461,0.0033139205120633996,2.2447898086282696e-05,2.2522535980251337e-05,0.0,1.0,0.0033813533157249307,4.628616354063865e-15,1.0,1.0,0,1,1,2,False,0.004253199993399903,20,True,False,0,admission_metric
baseline,train,g010nm_heating_low_localized-sink,10.0,R1,0.0033913992645280707,0.00013377621049231772,0.0017625877375101941,0.0033139205120633996,2.2447898086282696e-05,2.2522535980251337e-05,0.0,0.0033794137205701144,1.1483092844082779e-05,4.628616354063865e-15,1.7409634816959342e-12,1.7409634816959342e-12,1,2,1,2,False,0.005037000009906478,20,True,True,0,admission_metric
baseline,train,g010nm_heating_low_localized-sink,10.0,R2,1.208320569033674e-05,1.634065925582315e-07,6.123306141447485e-06,1.1010207393798507e-05,2.252228800245916e-05,2.2522535980251337e-05,0.0,1.2037657146720048e-05,4.090620879321527e-08,1.6046359238562869e-15,1.6987077048923618e-12,1.6987077048923618e-12,2,4,1,2,False,0.01009485000395216,20,True,True,0,admission_metric
baseline,train,g010nm_heating_low_nominal,10.0,COLD,1.842976897571673e-12,1.5723327744664054e-15,9.222746151730696e-13,4.3607358798542886e-15,2.2531936028370873e-05,2.253193602837097e-05,0.7810249675906656,3.336490836629122e-08,1.2468332980716111e-10,0.0,2.9560098454965595e-08,2.9560098454965595e-08,29,59,1,2,False,0.1648684499959927,10,True,False,29,reference_baseline_nonvoting
baseline,train,g010nm_heating_low_nominal,10.0,A1,2.93710588697023e-05,3.946299237136182e-06,1.665867905341924e-05,2.7957281241216073e-05,2.2531306096698517e-05,2.253193602837097e-05,0.7810249675906656,2.9302806887985042e-05,1.0950095428797302e-07,8.019968363369543e-16,2.0238390164963053e-12,2.0238390164963053e-12,1,2,1,2,False,0.005586850005784072,20,True,True,0,admission_metric
baseline,train,g010nm_heating_low_nominal,10.0,A2,7.529323944980043e-08,9.193410998482175e-09,4.22433252241413e-08,1.0413250686707445e-07,2.2531933682063988e-05,2.253193602837097e-05,0.7810249675906656,1.0640085759487874e-07,3.97612222400427e-10,0.0,2.2559542634294585e-12,2.2559542634294585e-12,2,4,1,2,False,0.011505950009450316,20,True,True,0,admission_metric
baseline,train,g010nm_heating_low_nominal,10.0,R0,0.9816693095803695,5.1441994708920075e-05,0.4908603757875392,0.0036504649954948384,2.2449683984618674e-05,2.253193602837097e-05,0.8062257748298549,0.9816175328785678,0.0036490208498948505,3.4208790616833312e-15,0.9785411677308138,0.9785411677308138,0,1,1,2,False,0.004311999990022741,20,True,False,0,admission_metric
baseline,train,g010nm_heating_low_nominal,10.0,R1,0.0036529907032879553,5.1441994708920075e-05,0.0018522163489984376,0.0036504649954948384,2.2449683984618674e-05,2.253193602837097e-05,0.8200000000000001,0.0036394437835505296,1.359998070448212e-05,3.4208790616833312e-15,2.016306364592175e-12,2.016306364592175e-12,1,2,1,2,False,0.00505005000741221,20,True,True,0,admission_metric
baseline,train,g010nm_heating_low_nominal,10.0,R2,1.361377800233711e-05,1.0316209539677249e-07,6.858470048866941e-06,1.3635817773385078e-05,2.2531628786997206e-05,2.253193602837097e-05,0.8200000000000001,1.3592813704975656e-05,5.079505195043649e-08,8.019853504119408e-16,2.0071688357434848e-12,2.0071688357434848e-12,2,4,1,2,False,0.010637800005497411,20,True,True,0,admission_metric
baseline,train,g010nm_heating_near-transition_localized-sink,10.0,COLD,9.413076795478504e-14,1.154192570647763e-15,4.76424802627164e-14,1.4803607929693678e-15,0.00029295619760660266,0.0002929561976066031,0.17999999999999997,1.6693401024888225e-08,6.185648217972776e-10,3.218175636889934e-16,1.4066386769661456e-08,1.4066386769661456e-08,39,79,1,2,False,0.21810094999091234,10,True,False,39,reference_baseline_nonvoting
baseline,train,g010nm_heating_near-transition_localized-sink,10.0,A1,0.007194990612786706,0.0014584530375947784,0.0043267218251907425,0.003023082775629166,0.00029384182844160143,0.0002929561976066031,0.17999999999999997,0.007099066066815734,0.00026539619780741985,6.416952295822326e-15,8.245783700131744e-14,8.245783700131744e-14,1,2,1,2,False,0.005980000016279519,20,True,True,0,admission_metric
baseline,train,g010nm_heating_near-transition_localized-sink,10.0,A2,0.00014703304454780655,4.0105702937238693e-05,9.356937374252262e-05,0.00010544733813442542,0.0002929870890578307,0.0002929561976066031,0.17999999999999997,0.00014316561088835791,5.312994064895235e-06,8.044590811537362e-16,9.33172534138334e-14,9.33172534138334e-14,2,4,1,2,False,0.010966550005832687,20,True,True,0,admission_metric
baseline,train,g010nm_heating_near-transition_localized-sink,10.0,R0,1.1189835190559465,0.0009247366892361367,0.5599541278725914,0.0420041708860475,0.00030526157979299755,0.0002929561976066031,0.0,1.0335409716804267,0.04088486407487599,4.632671912656672e-16,0.5238738383203777,0.5238738383203777,0,1,1,2,False,0.004109650006284937,20,True,False,0,admission_metric
baseline,train,g010nm_heating_near-transition_localized-sink,10.0,R1,0.04237300763819056,0.0009247366892361367,0.021648872163713348,0.0420041708860475,0.00030526157979299755,0.0002929561976066031,0.17999999999999997,0.04069015177266677,0.001526375950146883,4.632671912656672e-16,8.848403353174249e-14,8.848403353174249e-14,1,2,1,2,False,0.005176500009838492,20,True,False,0,admission_metric
baseline,train,g010nm_heating_near-transition_localized-sink,10.0,R2,0.0016309046254321393,3.794099703188114e-05,0.0008344228112320102,0.0015299713374564295,0.0002934044121920714,0.0002929561976066031,0.17999999999999997,0.001566807454593717,5.867940769795523e-05,6.426518884087584e-16,8.964993843302187e-14,8.964993843302187e-14,2,4,1,2,False,0.009962449999875389,20,True,True,0,admission_metric
baseline,train,g010nm_heating_near-transition_nominal,10.0,COLD,1.015691155012449e-13,1.2349754855942048e-15,5.140204549341955e-14,5.8934129325616774e-15,0.0002943495553132348,0.00029434955531323654,0.7810249675906656,5.564802403706792e-08,2.2919959087567535e-09,1.6014709055874194e-15,5.554395026233872e-08,5.554395026233872e-08,33,67,1,2,False,0.18357140000443906,10,True,False,33,reference_baseline_nonvoting
baseline,train,g010nm_heating_near-transition_nominal,10.0,A1,0.0017295147806496575,6.261249198909739e-05,0.0008960636363193774,0.0017249112915927519,0.00029384182844160143,0.00029434955531323654,0.7810249675906656,0.001659438492107153,6.833777686878243e-05,6.416952295822326e-15,8.839351787495313e-14,8.839351787495313e-14,1,2,1,2,False,0.005740049993619323,20,True,True,0,admission_metric
baseline,train,g010nm_heating_near-transition_nominal,10.0,A2,7.091189244623971e-05,1.5838955702868511e-06,3.624789400826328e-05,7.082296725652011e-05,0.0002943287086043186,0.00029434955531323654,0.7810249675906656,6.807123746961016e-05,2.803668556124336e-06,1.1211090341796073e-15,9.945838717507669e-14,9.945838717507669e-14,2,4,1,2,False,0.011730300000635907,20,True,True,0,admission_metric
