seed,mode,sample_id,context_id,protocol_id,branch_label,device_voltage_V,split,full_curve_test,headline_test,event_neighborhood,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,mean_state_absolute_error,predicted_mean_state,reference_mean_state,hotspot_coordinate_error,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,finite,practical_complete_case_pass
0,A2,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.4238052179934114,5.539245760427445e-05,0.21193030522550785,0.001822872026751607,1.4988933347531203e-05,1.501630615196075e-05,3.307156135990037e-05,0.003164922610929718,0.0031979941722896183,0.0,0.20426170892778014,0.0004228771648049314,1.5069481420994505e-15,1.0398243570114627e-11,2,4,1,2,False,True,False
0,R1,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.6488222182148583,8.84344101951133e-05,0.3244553263125267,0.0027831706615361806,1.4974513209233968e-05,1.501630615196075e-05,5.0404271590187826e-05,0.0031475899006994305,0.0031979941722896183,0.0,0.3920006685621034,0.0006470456118467746,1.5083993011663422e-15,1.016223693188778e-11,1,2,1,2,False,True,False
0,R2,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.42238566938504873,5.757419520858579e-05,0.21122162179012866,0.0018137441432356657,1.4989070414624598e-05,1.501630615196075e-05,3.290724099712936e-05,0.003165086931292489,0.0031979941722896183,0.0,0.2033138027919098,0.00042146384418203305,1.5069343618585135e-15,1.0846913536657582e-11,2,4,1,2,False,True,False
20260809,H0,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.9993990228192056,8.55686314114483e-05,0.4997422957253085,0.002794784017890469,1.49743388195195e-05,1.501630615196075e-05,7.740488966226323e-05,0.003120589282627355,0.0031979941722896183,1.1439589045541112,0.9982744339503845,0.0009958151866631326,1.5084168678400097e-16,0.9985435156941679,0,1,1,2,False,True,False
20260809,H1,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.6506114276723729,8.55686314114483e-05,0.32534849815189215,0.002794784017890469,1.49743388195195e-05,1.501630615196075e-05,5.0612871626729786e-05,0.0031473813006628886,0.0031979941722896183,0.0,0.39389499844847164,0.0006488273951237676,1.5084168678400097e-16,1.0638864168875588e-11,1,2,1,2,False,True,False
20260809,H2,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.42355052702320256,5.571219749451275e-05,0.21180311961034853,0.001821315790514549,1.4988956716450983e-05,1.501630615196075e-05,3.3043536742285995e-05,0.0031649506355473324,0.0031979941722896183,0.0,0.2040920798329242,0.00042262354327646245,0.0,1.0604980321216663e-11,2,4,1,2,False,True,False
20260809,S1,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.6504522525053694,8.52234154378671e-05,0.3252687379604036,0.0027944844956936787,1.4974343317236506e-05,1.501630615196075e-05,5.060741305603104e-05,0.0031473867592335873,0.0031979941722896183,0.0,0.39372825984966364,0.0006486689114033984,1.0558914903387043e-15,1.0879905916450022e-11,1,2,1,2,False,True,False
20260809,S2,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.4234469162101413,5.54878011633586e-05,0.21175120200565234,0.0018211199742756922,1.4988959656887575e-05,1.501630615196075e-05,3.303993529935956e-05,0.003164954236990259,0.0031979941722896183,0.0,0.2040232408795214,0.00042252011301257034,6.027781988120964e-16,1.0881352044955971e-11,2,4,1,2,False,True,False
20260809,G1,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.30541831110418743,6.20285669702972e-05,0.15274016983557887,0.001294072353869304,1.499687396531226e-05,1.501630615196075e-05,2.347976695553193e-05,0.0031745144053340864,0.0031979941722896183,0.1111111111111111,0.13090534001991605,0.0003047771129303646,1.3555352122798147e-15,1.0714451547906826e-11,1,2,1,2,False,True,False
20260809,G2,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.19879135800540537,4.0365812729673156e-05,0.09941586190906752,0.0008427773828213594,1.5003650748762356e-05,1.501630615196075e-05,1.5304826935334716e-05,0.0031826893453542836,0.0031979941722896183,0.1111111111111111,0.07899037841039697,0.00019843453941035096,2.4087519112083207e-15,1.0713225219087936e-11,2,4,1,2,False,True,False
0,A1,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.651070866356996,9.086749466449374e-05,0.3255808669258302,0.002987386993003899,1.5473446410734986e-05,1.551981008953034e-05,5.4168246392652646e-05,0.0031491644720286678,0.0032033327184213204,0.0,0.3943315735975404,0.0006933840902870223,4.661819792381205e-15,9.69983431528093e-12,1,2,1,2,False,True,False
0,A2,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.42389413605590026,5.916969735660343e-05,0.21197665287662842,0.0019471757953918947,1.5489590290974927e-05,1.551981008953034e-05,3.5375328877484524e-05,0.003167957389543836,0.0032033327184213204,0.0,0.20428899314870047,0.00045171071947289405,1.128960255615751e-15,9.970835857566362e-12,2,4,1,2,False,True,False
