comparator_depth_m,depth_m,formal_case,frequency_state_space_relative_error,grid_level,impulse_integral_relative_error,impulse_step_derivative_relative_error,maximum_pole_real_per_s,minimum_capacity_J_m2K,minimum_conductance_matrix_eigenvalue_W_m2K,minimum_physical_conductance_W_m2K,minimum_real_admittance_relative_margin,passed,physical_depth_m,region,step_DC_relative_error,step_initial_relative_error,voting
0.0001024,5.12e-05,False,5.202011443681242e-13,coarse,3.4172152521960545e-16,6.497786071476949e-12,-10211899.048027676,0.028438237778022714,1237197448.5705402,3.814697265625e-06,0.6585850058156285,True,0.0001024,electrode_covered_vo2,0.0,3.4171960080150184e-16,False
0.0001024,5.12e-05,False,5.421996565571914e-12,fine,1.8794630965431435e-15,2.2943777099167433e-11,-10243626.330631297,0.014219118889011357,619875817.6752948,3.814697265625e-06,0.6586149127101865,True,0.0001024,electrode_covered_vo2,0.0,1.87945780440826e-15,False
0.0002048,0.0001024,False,1.2215307482251222e-12,coarse,4.1665764213729115e-16,3.3103127449157634e-11,-40840426.44900422,0.018155253354928666,2474394897.295733,7.62939453125e-06,0.6876526867191476,True,0.0001024,bare_vo2,0.0,4.166538275226475e-16,False
0.0002048,0.0001024,False,2.591247694270841e-12,fine,6.944262247020639e-16,1.1841134302836192e-11,-40967313.30379054,0.009077626677464333,1239751635.4280732,7.62939453125e-06,0.6873286046475671,True,0.0001024,bare_vo2,0.0,6.944230458710791e-16,False
0.0002048,0.0001024,False,3.1252993303519846e-12,coarse,1.9443934291657786e-15,6.525375773343459e-11,-10209743.758104682,0.018155253354928666,1242089121.1522353,1.9073486328125e-06,0.6887908706917932,True,0.0002048,bare_vo2,0.0,1.9443845284390216e-15,False
0.0002048,0.0001024,False,3.721968626446159e-13,fine,1.3888492705658673e-16,1.7549354763450779e-12,-10241734.677226547,0.009077626677464333,622336816.861614,3.814697265625e-06,0.6883852351594183,True,0.0002048,bare_vo2,0.0,1.3888460917421583e-16,False
0.0002048,0.0001024,False,4.855507731249065e-12,coarse,2.050329151189488e-15,3.31906013973918e-11,-40840426.44900422,0.014221615128027453,2474394897.295733,7.62939453125e-06,0.6822643555323104,True,0.0001024,electrode_covered_vo2,0.0,2.050317604680866e-15,False
0.0002048,0.0001024,False,1.135398529583841e-12,fine,1.7086028149324344e-16,6.834121574798104e-12,-40967313.30379054,0.007110807564013727,1239751635.4280732,7.62939453125e-06,0.6822803780488921,True,0.0001024,electrode_covered_vo2,0.0,1.7085980039007218e-16,False
0.0002048,0.0001024,False,8.550952086557338e-12,coarse,3.4172056298648683e-15,6.525323988067187e-11,-10209743.758104682,0.014221615128027453,1242089121.1522353,3.814697265625e-06,0.6822640818818453,True,0.0002048,electrode_covered_vo2,0.0,3.4171960078014438e-15,False
0.0002048,0.0001024,False,1.8995542020116345e-12,fine,6.834401637652767e-16,3.5435310673569305e-12,-10241734.677226547,0.007110807564013727,622336816.861614,3.814697265625e-06,0.6822803090762519,True,0.0002048,electrode_covered_vo2,0.0,6.834392015602887e-16,False
