load_resistance_ohm,branch,source_voltage_V,temperature_K,device_voltage_V,current_A,conductive_state,stability_classification,robust_stability_margin,reachable,reachability_status,target_grid_point,diagnostic_only,voting_eligible,load_scope
9000.0,cooling,15.0,336.32052030804283,1.5618390600381742,0.0014931289933290918,0.973434373747228,unstable,-0.8980235707267551,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,14.5,336.15476652009363,1.6036239169050592,0.0014329306758994378,0.9711771623746221,unstable,-0.9610026211823545,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,14.0,335.9839652951128,1.6487638490849044,0.0013723595723238995,0.9686568730902004,unstable,-1.01883435740987,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,13.5,335.80730784746777,1.6976984204429355,0.0013113668421730073,0.9658262705859296,unstable,-1.071184131920726,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,13.0,335.62383972622416,1.750957870519546,0.0012498935699422726,0.9626260795197303,unstable,-1.117661122474949,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,12.5,335.4324167612538,1.809189339249478,0.0011878678511945025,0.9589808423709882,unstable,-1.1578009723632305,False,post_switch_reachability_unresolved,True,True,False,load_design_sentinel
9000.0,cooling,12.0,335.23164341061727,1.873193351183569,0.0011252007387573813,0.9547929112913789,unstable,-1.1910415255203506,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,11.5,335.01978412642916,1.943975797554567,0.0010617804669383814,0.9499334956050063,unstable,-1.216687993503143,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,11.0,334.79463192398174,2.0228240750664295,0.0009974639916592856,0.9442288974744859,unstable,-1.2338614033553055,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,10.5,334.55330629845747,2.111422277103957,0.0009320641914328937,0.937438553032526,unstable,-1.2414195439356974,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,10.0,334.2919288113472,2.212032284304156,0.0008653297461884271,0.9292184168229713,unstable,-1.2378305281569324,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,9.5,334.00507431420317,2.327791870737016,0.0007969120143625538,0.9190565284973456,unstable,-1.220960021710298,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
