structure,geometry,transition_width,pulse,seed,finite_result,interface_bc_residual,current_continuity_error,energy_balance_error,max_delta_T,max_m,conductance_ratio,mean_abs_power
pcm_plus_electrodes_substrate,uniform_crossbar,0.2,short_pulse,2027,True,0.0,0.0,35111111168.67814,180.0,0.5079128773199403,1.0000000000021017,8.307692293834673e-17
pcm_plus_electrodes_substrate,uniform_crossbar,0.2,ltp_ltd,2026,True,0.0,0.0,24223582685.121243,180.0,0.5066107659883523,1.0000000000020952,1.2041666646586967e-16
pcm_plus_electrodes_substrate,uniform_crossbar,0.2,ltp_ltd,2027,True,0.0,0.0,24223582685.121296,180.0,0.5066107659883523,1.000000000002101,1.2041666646586937e-16
pcm_plus_electrodes_substrate,uniform_crossbar,0.1,short_pulse,2026,True,0.0,0.0,35111111168.67801,180.0,0.5079129134306216,1.000000000002096,8.307692293834705e-17
pcm_plus_electrodes_substrate,uniform_crossbar,0.1,short_pulse,2027,True,0.0,0.0,35111111168.67814,180.0,0.5079129134306216,1.0000000000021017,8.307692293834673e-17
pcm_plus_electrodes_substrate,uniform_crossbar,0.1,ltp_ltd,2026,True,0.0,0.0,24223582685.1209,180.0,0.5076495740499152,1.0000000000020957,1.2041666646587134e-16
pcm_plus_electrodes_substrate,uniform_crossbar,0.1,ltp_ltd,2027,True,0.0,0.0,24223582685.120953,180.0,0.5076495740499152,1.0000000000021014,1.2041666646587107e-16
pcm_plus_electrodes_substrate,uniform_crossbar,0.05,short_pulse,2026,True,0.0,0.0,35111111168.67801,180.0,0.5079129134307725,1.000000000002096,8.307692293834705e-17
pcm_plus_electrodes_substrate,uniform_crossbar,0.05,short_pulse,2027,True,0.0,0.0,35111111168.67814,180.0,0.5079129134307725,1.0000000000021017,8.307692293834673e-17
pcm_plus_electrodes_substrate,uniform_crossbar,0.05,ltp_ltd,2026,True,0.0,0.0,24223582685.120823,180.0,0.5079043945350195,1.0000000000020959,1.2041666646587174e-16
pcm_plus_electrodes_substrate,uniform_crossbar,0.05,ltp_ltd,2027,True,0.0,0.0,24223582685.120876,180.0,0.5079043945350195,1.0000000000021017,1.2041666646587147e-16
pcm_plus_electrodes_substrate,localized_filament,0.2,short_pulse,2026,True,0.0,0.0,35111111168.69539,180.0,0.5079128773199403,1.0000000000028488,8.307692293830592e-17
pcm_plus_electrodes_substrate,localized_filament,0.2,short_pulse,2027,True,0.0,0.0,35111111168.695526,180.0,0.5079128773199403,1.0000000000028548,8.307692293830561e-17
pcm_plus_electrodes_substrate,localized_filament,0.2,ltp_ltd,2026,True,0.0,0.0,24223582685.128647,180.0,0.5066107659883523,1.000000000002848,1.2041666646583284e-16
pcm_plus_electrodes_substrate,localized_filament,0.2,ltp_ltd,2027,True,0.0,0.0,24223582685.128708,180.0,0.5066107659883523,1.000000000002854,1.2041666646583254e-16
pcm_plus_electrodes_substrate,localized_filament,0.1,short_pulse,2026,True,0.0,0.0,35111111168.69539,180.0,0.5079129134306216,1.0000000000028488,8.307692293830592e-17
pcm_plus_electrodes_substrate,localized_filament,0.1,short_pulse,2027,True,0.0,0.0,35111111168.695526,180.0,0.5079129134306216,1.0000000000028548,8.307692293830561e-17
pcm_plus_electrodes_substrate,localized_filament,0.1,ltp_ltd,2026,True,0.0,0.0,24223582685.128178,180.0,0.5076495740499152,1.0000000000028486,1.2041666646583518e-16
pcm_plus_electrodes_substrate,localized_filament,0.1,ltp_ltd,2027,True,0.0,0.0,24223582685.128242,180.0,0.5076495740499152,1.0000000000028546,1.2041666646583486e-16
pcm_plus_electrodes_substrate,localized_filament,0.05,short_pulse,2026,True,0.0,0.0,35111111168.69539,180.0,0.5079129134307725,1.0000000000028488,8.307692293830592e-17
pcm_plus_electrodes_substrate,localized_filament,0.05,short_pulse,2027,True,0.0,0.0,35111111168.695526,180.0,0.5079129134307725,1.0000000000028548,8.307692293830561e-17
pcm_plus_electrodes_substrate,localized_filament,0.05,ltp_ltd,2026,True,0.0,0.0,24223582685.12808,180.0,0.5079043945350195,1.0000000000028486,1.2041666646583567e-16
pcm_plus_electrodes_substrate,localized_filament,0.05,ltp_ltd,2027,True,0.0,0.0,24223582685.128136,180.0,0.5079043945350195,1.0000000000028546,1.2041666646583538e-16
pcm_plus_electrodes_substrate,edge_hotspot,0.2,short_pulse,2026,True,0.0,0.0,35111111168.70519,180.0,0.5079128773199403,1.0000000000032736,8.307692293828274e-17
pcm_plus_electrodes_substrate,edge_hotspot,0.2,short_pulse,2027,True,0.0,0.0,35111111168.70539,180.0,0.5079128773199403,1.0000000000032827,8.307692293828224e-17
pcm_plus_electrodes_substrate,edge_hotspot,0.2,ltp_ltd,2026,True,0.0,0.0,24223582685.132824,180.0,0.5066107659883523,1.0000000000032727,1.2041666646581208e-16
pcm_plus_electrodes_substrate,edge_hotspot,0.2,ltp_ltd,2027,True,0.0,0.0,24223582685.132915,180.0,0.5066107659883523,1.000000000003282,1.2041666646581164e-16
pcm_plus_electrodes_substrate,edge_hotspot,0.1,short_pulse,2026,True,0.0,0.0,35111111168.70519,180.0,0.5079129134306216,1.0000000000032736,8.307692293828274e-17
pcm_plus_electrodes_substrate,edge_hotspot,0.1,short_pulse,2027,True,0.0,0.0,35111111168.70539,180.0,0.5079129134306216,1.0000000000032827,8.307692293828224e-17
pcm_plus_electrodes_substrate,edge_hotspot,0.1,ltp_ltd,2026,True,0.0,0.0,24223582685.13229,180.0,0.5076495740499152,1.0000000000032736,1.2041666646581474e-16
