transition_width,T_sw_delta_K,model,strategy,seed,finite_residual,state_residual_mse,stiffness_indicator,residual_median_proxy,uses_fourier_features,uses_continuation
0.5,0.4,vanilla_mlp,low_to_high_width_continuation,2026,True,0.022797180339694023,0.24343910813331604,0.16739606857299805,False,True
0.5,0.4,vanilla_mlp,low_to_high_width_continuation,2027,True,0.020942173898220062,0.24390453100204468,0.16652238368988037,False,True
0.5,0.4,vanilla_mlp,low_to_high_width_continuation,2028,True,0.06610497087240219,0.23724812269210815,0.19073326885700226,False,True
0.5,0.4,fourier_feature_mlp,direct_stiff_residual,2026,True,0.049131061881780624,0.24479475617408752,0.25865471363067627,True,False
0.5,0.4,fourier_feature_mlp,direct_stiff_residual,2027,True,0.034063298255205154,0.24422411620616913,0.2448929250240326,True,False
0.5,0.4,fourier_feature_mlp,direct_stiff_residual,2028,True,0.04012228175997734,0.24545760452747345,0.2513102889060974,True,False
0.5,0.4,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.049131061881780624,0.24479475617408752,0.1626291573047638,True,True
0.5,0.4,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.034063298255205154,0.24422411620616913,0.1539764404296875,True,True
0.5,0.4,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.04012228175997734,0.24545760452747345,0.15801134705543518,True,True
0.5,1.0,vanilla_mlp,direct_stiff_residual,2026,True,0.01741206832230091,0.24181605875492096,0.2592281401157379,False,False
0.5,1.0,vanilla_mlp,direct_stiff_residual,2027,True,0.031791795045137405,0.24177667498588562,0.2735684812068939,False,False
0.5,1.0,vanilla_mlp,direct_stiff_residual,2028,True,0.18715685606002808,0.20464657247066498,0.39180344343185425,False,False
0.5,1.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.01741206832230091,0.24181605875492096,0.16298970580101013,False,True
0.5,1.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.031791795045137405,0.24177667498588562,0.17200618982315063,False,True
0.5,1.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.18715685606002808,0.20464657247066498,0.24634642899036407,False,True
0.5,1.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.050496116280555725,0.24679958820343018,0.2616201937198639,True,False
0.5,1.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.034387025982141495,0.24779297411441803,0.2483184039592743,True,False
0.5,1.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.041572924703359604,0.2514949142932892,0.2578997015953064,True,False
0.5,1.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.050496116280555725,0.24679958820343018,0.16449370980262756,True,True
0.5,1.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.034387025982141495,0.24779297411441803,0.15613020956516266,True,True
0.5,1.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.041572924703359604,0.2514949142932892,0.1621544510126114,True,True
0.5,2.0,vanilla_mlp,direct_stiff_residual,2026,True,0.014867029152810574,0.23674827814102173,0.2516153156757355,False,False
0.5,2.0,vanilla_mlp,direct_stiff_residual,2027,True,0.06443189829587936,0.23258231580257416,0.2970142066478729,False,False
0.5,2.0,vanilla_mlp,direct_stiff_residual,2028,True,0.48856309056282043,0.1230669692158699,0.6116300821304321,False,False
0.5,2.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.014867029152810574,0.23674827814102173,0.1582031399011612,False,True
0.5,2.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.06443189829587936,0.23258231580257416,0.1867476850748062,False,True
0.5,2.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.48856309056282043,0.1230669692158699,0.3845624327659607,False,True
0.5,2.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.06317964196205139,0.2520483136177063,0.2774006128311157,True,False
0.5,2.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.03753592446446419,0.261579304933548,0.26322141289711,True,False
0.5,2.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.0506112314760685,0.2710896134376526,0.2830967307090759,True,False
0.5,2.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.06317964196205139,0.2520483136177063,0.17441564798355103,True,True
0.5,2.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.03753592446446419,0.261579304933548,0.1655004769563675,True,True
0.5,2.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.0506112314760685,0.2710896134376526,0.17799708247184753,True,True
