structure,geometry,pulse,material_family,transition_width,seed,finite_result,interface_bc_residual,potential_jump_residual,normal_current_mismatch,temperature_jump_residual,substrate_robin_residual,energy_balance_error,max_delta_T,conductance_ratio,used_artificial_lateral_factor,used_temperature_clip,used_global_sink,adaptive_substeps_enabled,semi_implicit_boundary_enabled
full_stack_with_SnSe_barrier,uniform_crossbar,ltp_ltd,nbo2,0.08,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.88329385209363e-11,1.0000000000114464,False,False,False,True,True
full_stack_with_SnSe_barrier,uniform_crossbar,ltp_ltd,nbo2,0.2,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.88329385209363e-11,1.0000000000114464,False,False,False,True,True
full_stack_with_SnSe_barrier,localized_filament,short_pulse,nbo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.0000000000157794,False,False,False,True,True
full_stack_with_SnSe_barrier,localized_filament,short_pulse,nbo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.0000000000157794,False,False,False,True,True
full_stack_with_SnSe_barrier,localized_filament,ltp_ltd,nbo2,0.08,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.88329385209363e-11,1.0000000000157796,False,False,False,True,True
full_stack_with_SnSe_barrier,localized_filament,ltp_ltd,nbo2,0.2,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.88329385209363e-11,1.0000000000157796,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,uniform_crossbar,short_pulse,nbo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.87281351222191e-11,1.0000000000114464,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,uniform_crossbar,short_pulse,nbo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.87281351222191e-11,1.0000000000114464,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,uniform_crossbar,ltp_ltd,nbo2,0.08,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.951505954726599e-11,1.0000000000114462,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,uniform_crossbar,ltp_ltd,nbo2,0.2,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.951505954726599e-11,1.0000000000114462,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,localized_filament,short_pulse,nbo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.87281351222191e-11,1.0000000000157792,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,localized_filament,short_pulse,nbo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.87281351222191e-11,1.0000000000157792,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,localized_filament,ltp_ltd,nbo2,0.08,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.951505954726599e-11,1.0000000000157792,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,localized_filament,ltp_ltd,nbo2,0.2,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.951505954726599e-11,1.0000000000157792,False,False,False,True,True
