profile_type,fixed_value,profiled_value,min_objective,G_loss,I_loss
min_over_gamma_for_T_sw,0.20000000000000018,457223786.1056496,0.6026427037273934,0.28603050045793316,0.6332244065389205
min_over_gamma_for_T_sw,0.2666666666666666,457223786.1056496,0.6090871197022508,0.2901469594081462,0.6378803205882091
min_over_gamma_for_T_sw,0.3333333333333335,457223786.1056496,0.4949935917024375,0.2374655249559632,0.5150561334929484
min_over_gamma_for_T_sw,0.3999999999999999,457223786.1056496,0.3078590418322741,0.15014413919285982,0.3154298052788286
min_over_gamma_for_T_sw,0.4666666666666668,430511620.2499343,0.11648608693593111,0.059932915643567716,0.1131063425847268
min_over_gamma_for_T_sw,0.5333333333333332,430511620.2499343,0.11282162157836706,0.05829705591928819,0.1090491313181577
min_over_gamma_for_T_sw,0.6000000000000001,457223786.1056496,0.2752168816531649,0.13568809495135728,0.27905757340361514
min_over_gamma_for_T_sw,0.6666666666666665,457223786.1056496,0.4113965338821696,0.20082497988248238,0.4211431079993741
min_over_gamma_for_T_sw,0.7333333333333334,457223786.1056496,0.4764404144083297,0.23305659221632952,0.4867676443840002
min_over_gamma_for_T_sw,0.7999999999999998,457223786.1056496,0.45092866633411594,0.22304180929226586,0.4557737140837002
min_over_gamma_for_T_sw,0.8666666666666667,457223786.1056496,0.3487406601846546,0.1769479942999174,0.34358533176947453
min_over_gamma_for_T_sw,0.9333333333333331,443666713.8440212,0.21414468438492873,0.11494871318464465,0.1983919424005681
min_over_gamma_for_T_sw,1.0,300000000.0,0.06764037410846986,0.043085545858347216,0.04910965650024529
min_over_gamma_for_T_sw,1.0666666666666664,443666713.8440212,0.2085057918411537,0.11264469221768639,0.1917221992469347
min_over_gamma_for_T_sw,1.1333333333333333,457223786.1056496,0.34050490321454085,0.17457236623342393,0.3318650739622337
min_over_gamma_for_T_sw,1.2000000000000002,457223786.1056496,0.47687325772014283,0.23860619510747014,0.47653412522534544
min_over_gamma_for_T_sw,1.2666666666666666,457223786.1056496,0.6029518578097487,0.2981904323969114,0.6095228508256741
min_over_gamma_for_T_sw,1.3333333333333335,457223786.1056496,0.7083382905054914,0.34848900911105596,0.7196985627888709
min_over_gamma_for_T_sw,1.4,471195120.25029045,0.7845245392832142,0.3856479227896081,0.7977532329872121
min_over_gamma_for_T_sw,1.4666666666666668,471195120.25029045,0.8249851677239046,0.40638070870040743,0.8372089180469945
min_over_gamma_for_T_sw,1.5333333333333332,471195120.25029045,0.8259785491465559,0.40901595886613396,0.8339251805608439
min_over_gamma_for_T_sw,1.6,471195120.25029045,0.7868859855169167,0.39317483100341144,0.7874223090270107
min_over_gamma_for_T_sw,1.6666666666666665,457223786.1056496,0.7113011837509118,0.3603079817069021,0.7019864040880199
min_over_gamma_for_T_sw,1.7333333333333334,457223786.1056496,0.6085970512029485,0.31480456186626626,0.5875849786733645
min_over_gamma_for_T_sw,1.7999999999999998,457223786.1056496,0.49253037661063653,0.2628251426709572,0.4594104678793587
min_over_gamma_for_T_sw,1.8666666666666667,457223786.1056496,0.3789834457415787,0.2116351041664999,0.33469668315015766
min_over_gamma_for_T_sw,1.9333333333333331,443666713.8440212,0.28331461137700553,0.16805229083196124,0.23052464109008858
min_over_gamma_for_T_sw,2.0,300000000.0,0.19112290797953116,0.12209218486046235,0.13806144623813763
