fraction,old_delta,new_delta,reversal_temperature_K,literal_tpr_K,atanh_tpr_K,literal_realized_fraction,atanh_realized_fraction,anchor_inverse_abs_error,literal_tpr_discrepancy_K,atanh_tpr_discrepancy_K,literal_state_discrepancy,atanh_state_discrepancy,literal_state_jump,atanh_state_jump,literal_temperature_contract_K,atanh_temperature_contract_K
0.5094981000000001,1,-1,336.3214071721081,-7.1929909665744844,-7.192999999999984,0.5094969552505784,0.5094980975665951,1.9984014443252818e-15,0.0,0.0,0.0,0.0,-1.1447494216998422e-06,-2.4334049220087195e-09,-1.924332235324425e-08,-1.924334652025901e-08
0.5099980000000001,1,-1,336.317453890488,-7.192989463610559,-7.192999999999984,0.5099966652462856,0.5099979975666901,3.3306690738754696e-16,0.0,0.0,0.0,0.0,-1.3347537144436927e-06,-2.433309997940114e-09,-1.924331833238291e-08,-1.924334652025901e-08
0.5104979000000001,1,-1,336.3135004507335,-7.192987802512164,-7.192999999999984,0.5104963552646611,0.5104978975667898,2.9976021664879227e-15,0.0,0.0,0.0,0.0,-1.5447353389763663e-06,-2.4332102999125027e-09,-1.924331388846632e-08,-1.924334652025901e-08
0.5109978000000001,1,-1,336.30954684492406,-7.192985975358795,-7.192999999999984,0.5109960243079841,0.5109977975668945,1.4432899320127035e-15,0.0,0.0,0.0,0.0,-1.7756920159817113e-06,-2.4331056058812806e-09,-1.9243309000304857e-08,-1.924334652025901e-08
0.5114977,1,-1,336.3055930651375,-7.192983974228355,-7.192999999999984,0.5114956713787011,0.5114976975670039,2.220446049250313e-15,0.0,0.0,0.0,0.0,-2.028621298943989e-06,-2.4329961378910525e-09,-1.9243303646704622e-08,-1.924334652025901e-08
0.5119976,1,-1,336.30163910344925,-7.192981791196246,-7.192999999999984,0.5119952954794349,0.5119975975671183,3.3306690738754696e-16,0.0,0.0,0.0,0.0,-2.304520565155066e-06,-2.432881784919516e-09,-1.9243297806465037e-08,-1.924334652025901e-08
0.5124975,1,-1,336.2976849519328,-7.192979418335938,-7.192999999999984,0.5124948956129912,0.5124974975672375,9.992007221626409e-16,0.0,0.0,0.0,0.0,-2.604387008831033e-06,-2.4327625469666714e-09,-1.924329145838035e-08,-1.924334652025901e-08
0.5129974,1,-1,336.29373060265925,-7.192976847718512,-7.192999999999984,0.5129944707823675,0.5129973975673616,2.9976021664879227e-15,0.0,0.0,0.0,0.0,-2.9292176325634856e-06,-2.4326384240325183e-09,-1.924328458123842e-08,-1.924334652025901e-08
0.5134973,1,-1,336.2897760476973,-7.192974071412664,-7.192999999999984,0.5134940199907607,0.5134972975674906,1.3322676295501878e-15,0.0,0.0,0.0,0.0,-3.2800092393259206e-06,-2.432509416117057e-09,-1.9243277153820725e-08,-1.924334652025901e-08
0.5139972,1,-1,336.2858212791132,-7.1929710814847,-7.192999999999984,0.513993542241575,0.5139971975676244,1.9984014443252818e-15,0.0,0.0,0.0,0.0,-3.65775842503524e-06,-2.4323756342425895e-09,-1.924326915490235e-08,-1.924334652025901e-08
0.5144971,1,-1,336.2818662889706,-7.192967869998256,-7.192999999999984,0.5144930365384301,0.5144970975677631,1.9984014443252818e-15,0.0,0.0,0.0,0.0,-4.063461569892013e-06,-2.432236967386814e-09,-1.924326056325123e-08,-1.924334652025901e-08
