observation_protocol,geometry,noise,observation_count,seed,true_lateral_coupling,estimated_lateral_coupling,true_amplitude,estimated_amplitude,relative_error,success,objective_value,finite_result
terminal_multi_pulse,uniform_strip,0.05,16,2030,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.002365029133738815,True
terminal_multi_pulse,uniform_strip,0.05,32,2026,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.003335288627186037,True
terminal_multi_pulse,uniform_strip,0.05,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0023185416639780448,True
terminal_multi_pulse,uniform_strip,0.05,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.002509761843590119,True
terminal_multi_pulse,uniform_strip,0.05,32,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0022217063576199015,True
terminal_multi_pulse,uniform_strip,0.05,32,2030,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.0023354765711148693,True
terminal_multi_pulse,localized_hotspot,0.0,8,2026,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,8,2027,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,8,2028,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,8,2029,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,8,2030,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,16,2026,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,16,2027,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,16,2028,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,16,2029,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,16,2030,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,32,2026,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,32,2027,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,32,2028,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,32,2029,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.0,32,2030,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,localized_hotspot,0.02,8,2026,0.35,0.35,1.05,1.05,0.0,True,0.00034720915117084593,True
terminal_multi_pulse,localized_hotspot,0.02,8,2027,0.35,0.35,1.05,1.05,0.0,True,0.00032764850055224445,True
terminal_multi_pulse,localized_hotspot,0.02,8,2028,0.35,0.35,1.05,1.05,0.0,True,0.00038726225487870525,True
terminal_multi_pulse,localized_hotspot,0.02,8,2029,0.35,0.35,1.05,1.05,0.0,True,0.00021536022133801703,True
terminal_multi_pulse,localized_hotspot,0.02,8,2030,0.35,0.35,1.05,1.05,0.0,True,0.000204058063446378,True
terminal_multi_pulse,localized_hotspot,0.02,16,2026,0.35,0.35,1.05,1.05,0.0,True,0.00041254316552733866,True
terminal_multi_pulse,localized_hotspot,0.02,16,2027,0.35,0.35,1.05,1.05,0.0,True,0.0003297930774258922,True
terminal_multi_pulse,localized_hotspot,0.02,16,2028,0.35,0.35,1.05,1.05,0.0,True,0.0003557927387223053,True
terminal_multi_pulse,localized_hotspot,0.02,16,2029,0.35,0.35,1.05,1.05,0.0,True,0.0003760985872320909,True
terminal_multi_pulse,localized_hotspot,0.02,16,2030,0.35,0.35,1.05,1.05,0.0,True,0.00024586091651271607,True
terminal_multi_pulse,localized_hotspot,0.02,32,2026,0.35,0.35,1.05,1.05,0.0,True,0.000421927360550793,True
terminal_multi_pulse,localized_hotspot,0.02,32,2027,0.35,0.35,1.05,1.05,0.0,True,0.0003225665060544055,True
terminal_multi_pulse,localized_hotspot,0.02,32,2028,0.35,0.35,1.05,1.05,0.0,True,0.0002953635682687543,True
