geometry,transition_width,lateral_coupling,seed,finite_fields,finite_residual,final_mean_T,max_T,final_conductance,max_conductance,spatial_sigma_std,residual_rms
defect_seeded_filament,0.2,0.5,2027,True,True,0.7339068596204968,1.7653035590670403,7.007738848779865,7.007738848779865,6.865008965739688,0.0
defect_seeded_filament,0.2,0.5,2028,True,True,0.7334667214776395,1.7720018842971537,7.005695504464029,7.005695504464029,6.889285136918712,0.0
lateral_cooling_gradient,0.05,0.0,2026,True,True,1.0102207108918897,1.3569461944739927,12.970860872322293,12.970860872322293,9.485495214908775,0.0
lateral_cooling_gradient,0.05,0.0,2027,True,True,1.009717011772605,1.3490568759284813,12.887717975985403,12.887717975985403,9.530063405537335,0.0
lateral_cooling_gradient,0.05,0.0,2028,True,True,1.0087279397899178,1.3651580819077271,12.903216848739255,12.903216848739255,9.580510523196697,0.0
lateral_cooling_gradient,0.05,0.25,2026,True,True,1.0102258793514496,1.3241285744475855,12.984027671848011,12.984027671848011,9.487304709912808,0.0
lateral_cooling_gradient,0.05,0.25,2027,True,True,1.0097222150164564,1.3253920102421424,12.886380661133025,12.886380661133025,9.518339775225146,0.0
lateral_cooling_gradient,0.05,0.25,2028,True,True,1.0087333205720728,1.3278978774252301,12.90583886480965,12.90583886480965,9.572365599503796,0.0
lateral_cooling_gradient,0.05,0.5,2026,True,True,1.0102310415545581,1.3147802716560424,12.986963849702148,12.986963849702148,9.490389594989741,0.0
lateral_cooling_gradient,0.05,0.5,2027,True,True,1.0097274253391137,1.3216688898920854,12.885182348216885,12.885182348216885,9.518886567824541,0.0
lateral_cooling_gradient,0.05,0.5,2028,True,True,1.0087386307857729,1.3197374868146905,12.908616056904528,12.908616056904528,9.569284048352365,0.0
lateral_cooling_gradient,0.1,0.0,2026,True,True,1.0102207108918897,1.3569461944739927,12.893736617821716,12.893736617821716,7.4806229758507445,0.0
lateral_cooling_gradient,0.1,0.0,2027,True,True,1.009717011772605,1.3490568759284813,12.84404704227025,12.84404704227025,7.509085980214266,0.0
lateral_cooling_gradient,0.1,0.0,2028,True,True,1.0087279397899178,1.3651580819077271,12.835894300289546,12.835894300289546,7.529748760615321,0.0
lateral_cooling_gradient,0.1,0.25,2026,True,True,1.0102258793514496,1.3241285744475855,12.897656164907774,12.897656164907774,7.465769420737436,0.0
lateral_cooling_gradient,0.1,0.25,2027,True,True,1.0097222150164564,1.3253920102421424,12.843607399824766,12.843607399824766,7.49211361021256,0.0
lateral_cooling_gradient,0.1,0.25,2028,True,True,1.0087333205720728,1.3278978774252301,12.837122124451103,12.837122124451103,7.513153032814343,0.0
lateral_cooling_gradient,0.1,0.5,2026,True,True,1.0102310415545581,1.3147802716560424,12.898851997057584,12.898851997057584,7.460213604318082,0.0
lateral_cooling_gradient,0.1,0.5,2027,True,True,1.0097274253391137,1.3216688898920854,12.843491535629477,12.843491535629477,7.485376649638218,0.0
lateral_cooling_gradient,0.1,0.5,2028,True,True,1.0087386307857729,1.3197374868146905,12.837878243024882,12.837878243024882,7.506135066241417,0.0
lateral_cooling_gradient,0.2,0.0,2026,True,True,1.0102207108918897,1.3569461944739927,12.758098896270537,12.758098896270537,4.7667433406672695,0.0
lateral_cooling_gradient,0.2,0.0,2027,True,True,1.009717011772605,1.3490568759284813,12.737817664141836,12.737817664141836,4.785996453704304,0.0
lateral_cooling_gradient,0.2,0.0,2028,True,True,1.0087279397899178,1.3651580819077271,12.719832246672757,12.719832246672757,4.792277621882918,0.0
lateral_cooling_gradient,0.2,0.25,2026,True,True,1.0102258793514496,1.3241285744475855,12.75912502385881,12.75912502385881,4.737778596381262,0.0
lateral_cooling_gradient,0.2,0.25,2027,True,True,1.0097222150164564,1.3253920102421424,12.738030907238876,12.738030907238876,4.757439871677898,0.0
lateral_cooling_gradient,0.2,0.25,2028,True,True,1.0087333205720728,1.3278978774252301,12.720314007579686,12.720314007579686,4.76437284594588,0.0
lateral_cooling_gradient,0.2,0.5,2026,True,True,1.0102310415545581,1.3147802716560424,12.759482805333153,12.759482805333153,4.725357169172509,0.0
lateral_cooling_gradient,0.2,0.5,2027,True,True,1.0097274253391137,1.3216688898920854,12.738175178711186,12.738175178711186,4.744683333048564,0.0
lateral_cooling_gradient,0.2,0.5,2028,True,True,1.0087386307857729,1.3197374868146905,12.72057568610862,12.72057568610862,4.752102631858587,0.0
